year,n_loans,mean_pd,psi,status
2007,603,0.2178040384508082,0.6989924634966904,SIGNIFICANT SHIFT
2008,2393,0.17491723643904392,0.2255491857565476,INVESTIGATE
2009,5281,0.14510093059505083,0.03304767736935105,STABLE
2010,9156,0.1288669972692186,0.030478149858112483,STABLE
2011,14101,0.10952466644266441,0.13029213485777283,INVESTIGATE
2012,43470,0.13101609555474966,0.0024040538547298214,STABLE
2013,100422,0.13535570834648272,0.0036806707813369388,STABLE
2014,162570,0.13726394783785445,0.005626307084643796,STABLE
2015,283026,0.13192777057757185,0.004726519060348099,STABLE
