addr_state,predicted_pd
ME,0.3584905660377358
ID,0.3793103448275862
MS,0.3826086956521739
ND,0.5128205128205128
IA,0.5284552845528455
NE,0.5337423312883436
SC,0.5581168672937278
AL,0.5748069079232838
LA,0.5850972031876555
TN,0.5918509895227008
KY,0.5983758050966116
AR,0.6003653206340922
DC,0.6062085803976281
OK,0.6121900826446282
NC,0.612612843004373
DE,0.6152661680598328
MO,0.6184670373312152
GA,0.6184814744920425
MD,0.6207434012130247
TX,0.6247205569698795
OH,0.6279947757234399
IN,0.6312159987740403
WV,0.6354543263436973
NM,0.636791253496059
WI,0.6379826635145784
VA,0.6414576313490578
KS,0.6483394518910612
PA,0.6526158445440957
SD,0.6554481839386871
FL,0.6568833335007989
MI,0.6579299576176667
AK,0.6605027448714245
NV,0.6644126623182335
IL,0.6661450280930653
AZ,0.6720176837222785
RI,0.6722495894909688
VT,0.6810772501771793
CT,0.6853631949261718
NH,0.6930441286462229
UT,0.6952827105349166
HI,0.6965180207697007
NY,0.6996548300156036
WY,0.7074853397723353
CO,0.7078276314120184
MN,0.7083401605767655
WA,0.7100147686903764
NJ,0.7118963083372546
MT,0.7119592875318066
MA,0.722384066587396
OR,0.7229472742188082
CA,0.7238658777120316
