threshold,total_profit
0.01,9564.375998732705
0.02,9564.375998732705
0.03,14142217.805749476
0.04,27797032.456383176
0.05,31985240.90452601
0.060000000000000005,57172727.15869364
0.06999999999999999,75305218.2492194
0.08,96322439.45830274
0.09,110687474.76545915
0.09999999999999999,131395996.70239243
0.11,131396270.25239308
0.12,148813818.72538245
0.13,168030788.5998479
0.14,180245327.26352137
0.15000000000000002,200317352.8491716
0.16,214052428.37665558
0.17,218264443.93758819
0.18000000000000002,223840141.1231473
0.19,230475507.08390278
0.2,233371559.29421446
0.21000000000000002,248769659.8563031
0.22,256725159.85710052
0.23,260233994.05211377
0.24000000000000002,260234223.8201362
0.25,267402319.42374325
0.26,270288414.2737386
0.27,273825496.01152116
0.28,273936600.92263675
0.29000000000000004,273938159.34073025
0.3,276001978.3421186
0.31,276413233.6491127
0.32,276600089.1608317
0.33,277335626.6028233
0.34,277335626.6028233
0.35000000000000003,277444147.86404216
0.36000000000000004,277543509.9964957
0.37,277543509.9964957
0.38,277539677.60649574
0.39,277539677.60649574
0.4,277539677.60649574
0.41000000000000003,277539677.60649574
0.42000000000000004,277539677.60649574
0.43,277545367.63498294
0.44,277545367.63498294
0.45,277545367.63498294
0.46,277545367.63498294
0.47000000000000003,277545367.63498294
0.48000000000000004,277523559.84559786
0.49,277523559.84559786
0.5,277523559.84559786
0.51,277523559.84559786
0.52,277523559.84559786
0.53,277523559.84559786
0.54,277523559.84559786
0.55,277523559.84559786
0.56,277523559.84559786
0.5700000000000001,277523559.84559786
0.5800000000000001,277523559.84559786
0.59,277523559.84559786
0.6,277523559.84559786
